Date,Temperature,Humidity,Wind Speed,Weather Condition
2024-11-26 12:00:00,1.0059890324016403,74,0.5184918155514557,clear sky
2024-11-26 15:00:00,1.2167254338970221,73,-0.32107008217514943,few clouds
2024-11-26 18:00:00,0.5900619241870697,80,-1.4349442831193586,scattered clouds
2024-11-26 21:00:00,0.5678791450822926,80,-1.6760066101893738,overcast clouds
2024-11-27 00:00:00,0.32941426970593923,85,-0.06338276703133983,light rain
2024-11-27 03:00:00,0.2573202376154138,94,2.7046777472553885,moderate rain
2024-11-27 06:00:00,1.1279943174779137,98,-0.7200697959462096,moderate rain
2024-11-27 09:00:00,-0.4137088303040927,88,2.089553188525004,light rain
2024-11-27 12:00:00,-0.724267737770972,85,1.6406785105325614,overcast clouds
2024-11-27 15:00:00,-0.4248002198564815,80,0.659804214178706,overcast clouds
2024-11-27 18:00:00,-0.92945844449016,84,-0.2462576358430758,broken clouds
2024-11-27 21:00:00,-1.3842054161380897,85,-0.6120073734665473,broken clouds
2024-11-28 00:00:00,-1.6171245967382493,86,-1.0193195812745044,broken clouds
2024-11-28 03:00:00,-1.4729365325571981,86,-1.2686944023814168,broken clouds
2024-11-28 06:00:00,-1.7613126609193002,89,-1.1772569679755491,scattered clouds
2024-11-28 09:00:00,-1.5838504280810837,86,-1.5014442354145352,clear sky
2024-11-28 12:00:00,-0.1419697862705739,70,-1.2853193904552112,clear sky
2024-11-28 15:00:00,-0.1308783967181851,72,-1.4016943069717702,overcast clouds
2024-11-28 18:00:00,-0.9849153922521026,80,-0.7034448078724154,broken clouds
2024-11-28 21:00:00,-1.301019994495176,84,-0.5870698913558563,overcast clouds
2024-11-29 00:00:00,-1.4063881952428667,86,-0.4873199629130912,overcast clouds
2024-11-29 03:00:00,-1.3232027735999532,84,-0.12988271932651654,overcast clouds
2024-11-29 06:00:00,-1.0181895609092684,82,0.3854919109611023,overcast clouds
2024-11-29 09:00:00,-0.5745339788137265,75,0.7096791784000885,overcast clouds
2024-11-29 12:00:00,0.9838062532968628,66,1.3829911953887524,overcast clouds
2024-11-29 15:00:00,0.7120672092633435,68,1.3414287252042671,overcast clouds
2024-11-29 18:00:00,0.4846937234393784,70,0.8759290591380304,overcast clouds
2024-11-29 21:00:00,0.5900619241870697,69,0.7761791306952653,overcast clouds
2024-11-30 00:00:00,0.301685795824968,72,0.659804214178706,overcast clouds
2024-11-30 03:00:00,0.1519520368677225,76,0.30236697059213175,overcast clouds
2024-11-30 06:00:00,-0.036601585522882576,78,-0.12157022528961964,overcast clouds
2024-11-30 09:00:00,0.7397956831443152,72,-0.1381952133634138,overcast clouds
2024-11-30 12:00:00,1.7158379637545065,66,0.15274207792798414,overcast clouds
2024-11-30 15:00:00,1.738020742859283,66,-0.14650770740031072,overcast clouds
2024-11-30 18:00:00,0.7897069361300636,71,-0.2296326477692816,overcast clouds
2024-11-30 21:00:00,0.5900619241870697,70,-0.27950761199066415,broken clouds
2024-12-01 00:00:00,0.7342499883681206,69,0.23586701829695503,broken clouds
2024-12-01 03:00:00,0.9893519480730569,64,0.26080450040764613,scattered clouds
2024-12-01 06:00:00,0.6233360928442351,68,0.5600542857359413,scattered clouds
2024-12-01 09:00:00,0.9893519480730569,66,0.2940544765552345,overcast clouds
